Appliances,Bedrooms,DateListed,Description,FullBathrooms,HalfBathrooms,MlsId,MlsName,Price,Rooms,StreetAddress,ThreeQuarterBathrooms
,2,2016-07-22 00:00:00,"Amazing investor opportunity in hot, hot Highland Park. This is a Probate sale that requires court confirmation. Cash buyers only. Executor asks that you do not walk on property. No open houses, no sh",1,,16146358,CLAW,468300.00,"bedrooms,bathrooms",4906 MENDOTA AVE,
"Built-In BBQ,Range Hood,Microwave,RangeOven",6,2016-07-29 00:00:00,"Perched atop a secluded promontory, this inspired contemporary compound is located within the exclusive gated community of Medea Valley Estates, optimally positioned between Malibu and Agoura Hills. O",5,,16148546,CLAW,2688000.00,"bedrooms,bathrooms",29220 WAGON RD,
,6,2016-08-09 00:00:00,Beautiful architectural home with stunning 180 degree views from downtown to the ocean. This 6 bedroom 4.5 bath is tucked behind the highly desirable gates of the exclusive Laughlin Park Community. Th,4,,16150280,CLAW,5540000.00,"bedrooms,bathrooms",1961 DE MILLE DR,
"Range Hood,Microwave",3,2016-08-05 00:00:00,"This sleek and sexy beach house is located on a private guard-gated lane in the center of Malibu. Upon entry, the home immediately introduces you to the Pacific Ocean with a two story entry, walls of ",3,1,16150318,CLAW,20000.00,"bedrooms,bathrooms",27112 MALIBU COVE COLONY DR,
"Built-Ins,Microwave,RangeOven",4,2016-08-05 00:00:00,"Spectacular Contemporary with dramatic and architectural details. Exquisitely updated with fine attention to detail. Ocean view from most rooms, yard and decks. Gorgeous living/media room with bar are",3,1,16150758,CLAW,10815.00,"bedrooms,bathrooms",181 SURFVIEW DR,
"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Convection Oven,Cooktop - Gas,Double Oven,Gas,Oven-Gas",7,2016-08-11 00:00:00,"Designed by noted architect Gus Duffy and situated on approx 3/4's of an acre, this resort like estate defines the meaning of ""compound"". The Casa: Is a single story 4+3.5 home, beautiful in rich wood",4,1,16151208,CLAW,3495000.00,"bedrooms,bathrooms",4960 VANALDEN AVE,1
RangeOven,1,2016-08-10 00:00:00,"This charming, fully furnished 1 bedroom, 1 bath cottage sits on the grounds originally developed in the 1930's known as The Malibu Lodge. Truly a special property, across the street from Las Tunas St",1,,16151674,CLAW,3500.00,"bedrooms,bathrooms",19355 PACIFIC COAST HWY,
Built-Ins,1,2016-08-15 00:00:00,"Hollywood Versailles Towers at it's best! Come see this hip, designer perfect condo in the fabulous, full-service building on Hollywood Boulevard! Bring your toothbrush and move in! This condo has a f",2,,16153228,CLAW,650000.00,"bedrooms,bathrooms",7135 HOLLYWOOD,
RangeOven,5,2016-08-22 00:00:00,"Just 35 miles outside of Los Angeles, Agua Dulce Winery is a breathtaking 90-acre property affording oenophiles the rarity of owning a countryside estate featuring a spacious 5-bedroom residence and t",4,1,16154748,CLAW,12800000.00,"bedrooms,bathrooms",9640 SIERRA HWY,
,4,2016-08-30 00:00:00,"Modern Ranch Beach Bungalow in Sycamore Park. Located in idyllic Sycamore Park, steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant ",2,,16154856,CLAW,10500.00,"bedrooms,bathrooms",6420 SYCAMORE MEADOWS DR,
RangeOven,3,2016-08-19 00:00:00,"Located in one of Malibu's most desirable beachside neighborhoods, Malibu Park, this modern single-story home is styled with tranquil, Zen elements throughout. Close proximity to Zuma Beach, schools, ",2,,16154966,CLAW,2288000.00,"bedrooms,bathrooms",6410 SURFSIDE WAY,2
"Built-In BBQ,Built-Ins,Range Hood,RangeOven",4,2016-08-22 00:00:00,"Gorgeous home with view of Calabasas golf course, Located in the sought after Las Virgenes School District. Nice and bright with an impressive entryway with skylights that opens into the living room o",3,,16155556,CLAW,1719500.00,"bedrooms,bathrooms",24014 PARK CASINO,
"Range Hood,RangeOven",3,2016-08-22 00:00:00,"Stunning Contemporary in Beverly Glen. Centrally located near Bel Air, Beverly Hills, Westwood, and Century City. The home has been tastefully updated with top quality finishes. Features hardwood floo",2,,16155592,CLAW,5700.00,"bedrooms,bathrooms",1100 N BEVERLY GLEN,1
RangeOven,3,2016-08-26 00:00:00,"AMAZING OPPORTUNITY IN VENICE! Charming beach cottage with 3 bedrooms and one bathroom in main house. Hardwood floors, light and bright, spacious bathroom and laundry inside. Legal back studio with st",2,,16156574,CLAW,1450000.00,"bedrooms,bathrooms",1016 OAKWOOD AVE,
"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Cooktop - Gas,Double Oven",7,2016-08-29 00:00:00,"Perched atop the coveted Huntington area of the Pacific Palisades, this oceanside manor is nothing short of presidential - a rare composition of remarkable stonework flush with ivy and backlit by the ",5,3,16157428,CLAW,20000000.00,"bedrooms,bathrooms",200 TOYOPA DR,2
"Built-In BBQ,Built-Ins,Microwave,RangeOven",8,2016-09-02 00:00:00,Shadow Mountain is an enclave of 46 wonderful estates that enjoy 24 hour live-gated security just minutes from all that Pacific Palisades has to offer. This spectacular property was conceived and cust,8,1,16157766,CLAW,10620000.00,"bedrooms,bathrooms",16242 SHADOW MOUNTAIN DR,
"Built-In BBQ,Built-Ins,RangeOven",5,2016-08-30 00:00:00,"68 yrs ago the owners picked this spot overlooking the now famous Billionaires' Beach in Malibu. This pastoral sanctuary, approx. 2.8 acres, has panoramic Ocean Views from Santa Monica's shoreline to ",2,,16157850,CLAW,2995000.00,"bedrooms,bathrooms",22042 CARBON MESA RD,3
,4,2016-08-31 00:00:00,"Modern Ranch Beach Bungalow in idyllic Sycamore Park. Just steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant lines & sophisticated",2,,16158240,CLAW,3169000.00,"bedrooms,bathrooms",6420 SYCAMORE MEADOWS DR,
"Built-Ins,Microwave",3,2016-09-06 00:00:00,"Tropical Traditional on the Famed Mar Vista Wood Streets. A gated, grassy front yard welcomes you to 3 bed 2.5 bath home with a large office. Enjoy an updated kitchen with an oversized granite peninsu",3,,16158556,CLAW,1299000.00,"bedrooms,bathrooms",3464 GREENWOOD AVE,
"Microwave,RangeOven",2,2016-09-02 00:00:00,"Prime Wilshire corridor location! Secure building with a 24 hr. doorman. Light and bright luxury unit, the best bargain on the Wilshire corridor. 2 bdrm/ 2 bath updated condo with plantation shutters ",2,,16158874,CLAW,720000.00,"bedrooms,bathrooms",10747 WILSHIRE,
"Built-Ins,Range Hood,Microwave,RangeOven,Built-In Gas,Cooktop - Gas",7,2016-09-06 00:00:00,"Located on one of Bel Air's most coveted streets, this superb property provides an escape from city life to a sanctuary of treetop vistas and glorious views of the Getty Museum and Catalina Island on ",5,,16159656,CLAW,2400000.00,"bedrooms,bathrooms",11647 BELLAGIO RD,
"Built-Ins,RangeOven",5,2016-09-08 00:00:00,"New Construction in the heart of Brentwood. This ""East Coast Beach Cottage"" influenced 5 bedroom, 5 bath home has a flexible open floorplan and works well for daily living and entertaining. The formal",3,1,16159808,CLAW,3995000.00,"bedrooms,bathrooms",316 N SKYEWIAY RD,1
"Built-Ins,Range Hood,Microwave,RangeOven",4,2016-09-09 00:00:00,"An architectural wonder designed by renowned architect David Kellen, a student of Frank Israel and colleague of Frank Gehry, this neo-modern ranch is perched atop the rolling hills of Pacific Palisade",5,,16160058,CLAW,2895000.00,"bedrooms,bathrooms",545 CATALONIA AVE,
"Built-In BBQ,Built-Ins,Range Hood,RangeOven",5,2016-09-08 00:00:00,"Thoughtfully placed on an idyllic Brentwood cul-de-sac, this newly constructed California Modern was beautifully conceived by Marmol Radziner to blend effortlessly into the hillside topography by way ",5,2,16160314,CLAW,5498000.00,"bedrooms,bathrooms",868 LEONARD RD,
,0,2016-09-09 00:00:00,"This upslope lot in the desirable La Costa area of Malibu is located less than a minute off of PCH and is in close proximity to shopping, schools, and Santa Monica. Enjoy panoramic ocean and whitewate",,,16161032,CLAW,450000.00,,21425 Rambla Vista,
,4,2016-09-10 00:00:00,"4 bedroom + 3.5 bathrooms, 3162 sqft home with pool on a 12,219 sqft lot. Cul-de-sac location, convenient to Sunset Strip, Hollywood and West Hollywood. Spacious Modern Spanish home with city views an",3,1,16161068,CLAW,7900.00,"bedrooms,bathrooms",7931 ZEUS DR,
"Microwave,RangeOven",6,2016-09-14 00:00:00,"Extraordinary view home located in the award-winning South Pasadena School district. Located minutes to Downtown LA, USC and Caltech. This home showcases stunning views of downtown, mountains & trees.",3,1,16161388,CLAW,2588000.00,"bedrooms,bathrooms",1900 PETERSON AVE,2
"Range Hood,Microwave,RangeOven,Oven",4,2016-09-16 00:00:00,"Located on a peaceful cul-de-sac in the lovely equestrian community of Shadow Hills, this extensively updated modern ranch home is the perfect turnkey opportunity. Upon entering this home, you are gre",2,1,16161666,CLAW,969000.00,"bedrooms,bathrooms",10700 ARTRUDE ST,
"Built-Ins,Range Hood,RangeOven",5,2016-09-15 00:00:00,This impressive modern construction sets the standard in this highly desirable Westwood location. Ideally located in close proximity to the best of what the Westside has to offer. 5 bd 5.5 ba & an ope,5,1,16162304,CLAW,3248000.00,"bedrooms,bathrooms",10501 EASTBORNE AVE,
RangeOven,3,2016-09-14 00:00:00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Coastal contemporary brand new construction- a true labor of love! Direct ocean views from this sleek architectural 3 be",1,1,16162540,CLAW,3488000.00,"bedrooms,bathrooms",1012 2ND ST,2
"Range Hood,RangeOven",3,2016-09-14 00:00:00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Architecturally significant turn-of-the-century Victorian cottage meticulously restored and transformed into a modern ma",1,,16162570,CLAW,2895000.00,"bedrooms,bathrooms",1012 2ND ST,2
"Built-Ins,RangeOven",1,2016-09-15 00:00:00,"Remodeled, spacious and light 1 bedroom and 1 bathroom condo in the coveted West Hollywood complex. Villa Las Brisas. Large open living room and dining area with private balcony. Remodeled eat-in-kitc",1,,16162696,CLAW,499000.00,"bedrooms,bathrooms",1203 N SWEETZER AVE,
"Built-In BBQ,Microwave,RangeOven",5,2016-09-15 00:00:00,"Classic Mediterranean Spanish home designed by J. Charles. Built in 1998 on a 50x152 lot with a guest room above garage. Perfect floor plan- appx 4600sqft with step down living rm, high beamed ceiling",3,1,16163034,CLAW,4695000.00,"bedrooms,bathrooms",215 21ST PL,1
"Built-Ins,Microwave,RangeOven",3,2016-09-16 00:00:00,"Meticulously remodeled Carbon Beach jewel. This 3 bedroom, 2 bath home with gated entry and beautiful courtyard leads you to the best location on the beach! Relax and unwind in your private hot tub on",2,,16163266,CLAW,10950000.00,"bedrooms,bathrooms",21844 PACIFIC COAST HWY,
"RangeOven,Microwave,Oven",2,2016-09-22 00:00:00,Welcome to WEHO! West Hollywood HARD TO FIND pet friendly 2bd/1bath + bungalow. This very bright and charming bungalow is the main house of a detached duplex. Enjoy the serine front yard with privacy ,1,,16163826,CLAW,3500.00,"bedrooms,bathrooms",1301 SEWARD ST,
,0,2016-09-20 00:00:00,"Located in the S Echo Park / Westlake neighborhood, this double lot offers the opportunity to raise 40 residential units over 2 levels of daylight subterranean, with access off both Colton and Douglas",,,16163996,CLAW,2599000.00,,1363 COLTON ST,
"Built-In BBQ,Built-Ins,Microwave,RangeOven",5,2016-09-21 00:00:00,"Oceanfront vistas await at The Spanish Estate, an incomparable residential retreat perched on a private bluff top in Malibu's exclusive Marisol community. Masterfully designed by award-winning archite",5,2,16164100,CLAW,16550000.00,"bedrooms,bathrooms",11768 ELLICE ST,
"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven",4,2016-09-21 00:00:00,"A harmonious union between architecture and nature, this Spanish Villa is set on a half-acre of beautiful land in the desirable Palisades. Originally built in 1923, the home remains true to its Spanis",3,,16164412,CLAW,6495000.00,"bedrooms,bathrooms",1310 NAPOLI DR,
"Microwave,RangeOven",0,2016-09-22 00:00:00,NOW OFFERING MOVE IN SPECIALS! This is the last TOP FLOOR CORNER unit! Welcome to The Lofts On La Brea. The newest luxury community. This large studio is perfect for the entertainer that wants the hig,1,,16164760,CLAW,3075.00,bathrooms,1616 N LA BREA AVE,
"Range Hood,RangeOven",2,2016-09-22 00:00:00,"Fantastic location! Flexible lease terms- Landlord will consider short, or long term. Just 2 blocks to Montana Avenue shops, cafes and restaurants! Franklin School District! Updated townhouse with 2bd",2,1,16164788,CLAW,6475.00,"bedrooms,bathrooms",928 19TH ST,
Built-In BBQ,3,2016-10-03 00:00:00,"Located in Northwest Glendale, above Bel Aire Drive, this stylishly remodeled home is sure to delight the most discerning buyer! The gorgeous chef's kitchen is straight out of Restoration Hardware and",2,,16164958,CLAW,888000.00,"bedrooms,bathrooms",1425 SYCAMORE AVE,
"Range Hood,RangeOven",3,2016-09-22 00:00:00,Charming 1920s farmhouse on the border of Mar Vista and Venice. This home was originally built in 1925 in La Canada and was moved to the current address in the 1960s. It exudes a vintage ranch-style c,1,,16165062,CLAW,1235000.00,"bedrooms,bathrooms",2445 WALGROVE AVE,1
"Microwave,RangeOven",4,2016-10-04 00:00:00,Welcome to this wonderful small gated community in the heart of Tarzana. Drive up and you are greeted with a stamped driveway and rose bush lined path leading to a beautiful newer 4 bedroom property. ,4,,16165260,CLAW,865000.00,"bedrooms,bathrooms",18913 ADOLFO AVE,
,0,2016-09-26 00:00:00,Smashing ocean views from 91 acres in the beautiful Santa Monica Mountains overlooking Malibu and Point Dume. This offering consists of seven contiguous ocean view lots only 2 1/2 miles from Pacific C,,,16165528,CLAW,3250000.00,,0 Ramera Mountainway,
,0,2016-09-26 00:00:00,"Amazing land offering of almost six acres within 1/2 mile of Pacific Coast Highway. Surrounded by multi-million dollar homes, the property is one of the few left that are able to accommodate multiple ",,,16165532,CLAW,2500000.00,,6041 KANAN DUME RD,
"Microwave,RangeOven",0,2016-09-26 00:00:00,NOW OFFERING MOVE IN SPECIALS! THE BUILDING IS ALMOST SOLD OUT! Welcome to The Lofts On La Brea. The newest luxury community. This large top-floor studio is perfect for the entertainer that wants the ,1,,16165994,CLAW,2550.00,bathrooms,1616 N LA BREA AVE,
"Microwave,RangeOven",3,2016-09-27 00:00:00,Beautifully appointed single level condo in a newer Mediterranean courtyard building. A great open floor plan with 3 bedrooms/2.5 bathrooms and filled with natural sunlight. The chef's kitchen has che,2,1,16166222,CLAW,4350.00,"bedrooms,bathrooms",1522 AMHERST AVE,
,2,2016-10-07 00:00:00,"Enchanting 1928 Spanish Bungalow high atop Mt. Washington. Perched above street level on a street-to-street lot, this graceful home has been lovingly preserved and is filled with original detail. Feat",1,,16167196,CLAW,599000.00,"bedrooms,bathrooms",483 CRANE,
"Range Hood,Microwave,RangeOven",4,2016-10-03 00:00:00,"Mid-Century modern with gorgeous canyon views. This 2,835 sqft home has 4 bed, 3 baths and is bright and spacious throughout with plenty of room for entertaining. The living room with fireplace has la",3,,16167440,CLAW,1998000.00,"bedrooms,bathrooms",901 TEAKWOOD RD,
RangeOven,3,2016-10-03 00:00:00,"Rare opportunity to purchase this wonderful 3 bed, 2 bath penthouse in a high demand Santa Monica area. Near shops, restaurants, Santa Monica Pier, Promenade, Santa Monica stairs and the beach; this h",2,,16167460,CLAW,1498000.00,"bedrooms,bathrooms",429 MONTANA AVE,
RangeOven,4,2016-10-29 00:00:00,"If you love the magnificence of a great view, this is one of best. King of the Hill panoramic views of Los Angeles and the the mountains beyond. Dramatic architectural home by Escher Gunewardena, loca",2,,16167486,CLAW,7750.00,"bedrooms,bathrooms",3292 INGLEWOOD,
"Built-Ins,Range Hood,Microwave,RangeOven",2,2016-10-04 00:00:00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",2,1,16168294,CLAW,3849000.00,"bedrooms,bathrooms",1 W CENTURY DR,
"Built-Ins,Range Hood,Microwave,RangeOven",2,2016-10-04 00:00:00,"Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the ",2,1,16168406,CLAW,18500.00,"bedrooms,bathrooms",1 W CENTURY DR,
"Built-Ins,Range Hood,Microwave,RangeOven",4,2016-10-06 00:00:00,"Perfectly situated on the most sought-after block of Adelaide Drive, this luxury four-level Santa Monica canyon home offers an idyllic lifestyle inclusive of breathtaking ocean & canyon views. Nestled",2,2,16168744,CLAW,6895000.00,"bedrooms,bathrooms",323 ADELAIDE DR,2
"Microwave,RangeOven",2,2016-10-05 00:00:00,"Welcome to 2041 N Commonwealth. Be the the first to live in this Top-floor Corner unit since the full remodel including new floors, fresh paint, new counter tops and new appliances. A large master wit",1,,16168832,CLAW,3095.00,"bedrooms,bathrooms",2041 N COMMONWEALTH AVE,
"Range Hood,RangeOven",2,2016-10-10 00:00:00,"Westside charmer. Coved ceilings, archways, wood floors, fireplace in a step-down living room. This home has been well maintained and upgraded with central heat and A/C, copper plumbing, CA cellar wit",1,,16168984,CLAW,799000.00,"bedrooms,bathrooms",2601 PURDUE AVE,
"Range Hood,Microwave,RangeOven",3,2016-10-06 00:00:00,Live above the city of lights in the peaceful and desirable Crestwood Hills area of Brentwood. This 3 bed/4 bath architectural home with wonderful canyon and ocean views boasts an open floor plan and ,3,,16169036,CLAW,1799000.00,"bedrooms,bathrooms",1101 N KENTER AVE,1
"Built-Ins,Range Hood,RangeOven",5,2016-10-06 00:00:00,Come embrace a skillful blend of elements that gives this romantic Mediterranean energy and joy. Tour the thoughtful floorpan that will impress. Many incredible features & fine details make it unique.,4,1,16169094,CLAW,2249000.00,"bedrooms,bathrooms",2765 CASIANO RD,
"Built-Ins,Range Hood,RangeOven",6,2016-10-06 00:00:00,"Architectural oasis located on a quiet corner lot North of Montana- just moments from restaurants & the beach. Steel, wood & glass set the stage for serene living tucked behind privacy walls & hedges.",2,2,16169172,CLAW,6595000.00,"bedrooms,bathrooms",920 Alta AVE,3
"Built-In BBQ,Built-Ins,Microwave,RangeOven,Gas,Oven",5,2016-10-07 00:00:00,"Designed by renowned architect Walter Scott Perry in the classic modern Bauhaus tradition, this newly remodeled, 5 bedroom & 6 bathroom contemporary home is sited on a serene, half-acre knoll in Bel A",3,1,16169260,CLAW,8499000.00,"bedrooms,bathrooms",1116 LINDA FLORA DR,2
Built-Ins,2,2016-10-08 00:00:00,"Located in the heart of Brentwood, minutes from some of the best restaurants, boutiques and farmers markets in Los Angeles, this stylish condo beckons you home. Enjoy a thoughtfully-designed open floo",2,1,16169676,CLAW,875000.00,"bedrooms,bathrooms",750 S BUNDY DR,
"Built-Ins,Range Hood,Microwave,RangeOven",2,2016-10-13 00:00:00,"ATTENTION INVESTORS looking for an updated easy to manage condo with low dues! Tenant in place until NOV 1st 2017 at $3,300 per month. Can be shown with 48hrs notice. Just 12 blocks from the sand? At ",2,,16170084,CLAW,779000.00,"bedrooms,bathrooms",1508 12TH ST,
,0,2016-10-13 00:00:00,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce",,,16170236,CLAW,20000000.00,,2317 Dickenson Road,
"Microwave,RangeOven",4,2016-10-13 00:00:00,Welcome to this Mar Vista/ Westdale Trousdale charmer on a wonderful tree lined street centrally located to everything the neighborhood has to offer.This pristine home offers 4 spacious Bedrooms (2 en,3,,16170260,CLAW,1589000.00,"bedrooms,bathrooms",3181 FEDERAL AVE,
"Built-In BBQ,Range Hood,Microwave,RangeOven",5,2016-10-12 00:00:00,"This rare single story contemporary is a WOW! In the ""Coastal Modern"" style of its celebrity designer Tim Clarke, interiors include Balinese ceilings, floor to ceiling windows/doors, and a seamless in",3,1,16170438,CLAW,5995000.00,"bedrooms,bathrooms",1125 NAPOLI DR,1
"Built-In BBQ,RangeOven",5,2016-10-17 00:00:00,"Welcome home to this beautiful Contemporary Traditional in the exclusive guard gated community of the Palisades Country Estates. This great family home, at the end of a cul-de-sac, offers 5 spacious e",5,1,16170720,CLAW,3895000.00,"bedrooms,bathrooms",17795 CALLE DE PALERMO,
